กรอบ	kr @@ p^
กระเทียม	kr a th iia m^
กระแส	kr a s xx
กรุงศรี	kr u ng^ s ii
กรุงเทพ	kr u ng^ th ee p^
กลับ	kl a p^
กลาง	kl aa ng^
กลางวัน	kl aa ng^ w a n^
กล้วย	kl uua j^
กว่า	kw aa
กสิกร	k a s i k @@ n^
กะเพรา	k a phr aa
กัญชา	k a n^ ch aa
กัน	k a n^
กับ	k a p^
การ	k aa n^
กาแฟ	k aa f xx
กำกับ	k a m^ k a p^
กิจกรรม	k i t^ c a k a m^
กิน	k i n^
กินข้าว	k i n^ kh aa w^
กีฬา	k ii l aa
กี่	k ii
กี่โมง	k ii m oo ng^
กุมภา	k u m^ ph aa
กู๊ด	k uu o t^
ก็	k @@
ก็ได้	k @@ d aa j^
ก่อน	k @@ n^
ก่อนหน้า	k @@ n^ n aa
ก่อย	k @@ j^
ก๋วยเตี๋ยว	k uua j^ t iia w^
ขนม	kh a n o m^
ขนาด	kh a n aa t^
ขวด	kh uua t^
ขวัญ	khw a n^
ขอ	kh @@
ของ	kh @@ ng^
ของขวัญ	kh @@ ng^ khw a n^
ขอบคุณ	kh @@ p^ kh u n^
ขั้น	kh a n^
ขาย	kh aa j^
ขี้เกียจ	kh ii k iia t^
ข้อมูล	kh @@ m uu n^
ข้าง	kh aa ng^
ข้าม	kh aa m^
ข้าว	kh aa w^
ข้าวมัน	kh aa w^ m a n^
ข้าวโพด	kh aa w^ ph oo t^
คณะ	kh a n a
คน	kh o n^
คนนี้	kh o n^ n ii
ครั้ง	khr a ng^
คราว	khr aa w^
ครีมเมอรี่	khr ii m^ m qq r ii
ครึ่ง	khr v ng^
คลุก	khl u k^
คล้าย	khl aa j^
ควร	kh uua n^
ความ	khw aa m^
คะน้า	kh a n aa
คะแนน	kh a n xx n^
คำนวณ	kh a m^ n uua n^
คิดส์ซาเนีย	kh i t^ s aa n iia
คิล	kh i n^
คิว	kh i w^
คืน	kh vv n^
คือ	kh vv
คุย	kh u j^
คู่	kh uu
ค่อย	kh @ j^
ค่า	kh aa
ค่ำ	kh a m^
งบ	ng o p^
งาน	ng aa n^
งีบ	ng ii p^
ง่วง	ng uua ng^
จบ	c o p^
จอ	c @@
จอง	c @@ ng^
จอด	c @@ t^
จะ	c a
จัง	c a ng^
จัด	c a t^
จันทร์	c a n^
จับ	c a p^
จาก	c aa k^
จากนี้	c aa k^ n ii
จาม	c aa m^
จีน	c ii n^
จุด	c u t^
จุล	c u n^
จุฬา	c u l aa
จูเนีย	c uu n iia
จ่าย	c aa j^
ฉัน	ch a n^
ฉาย	ch aa j^
ชอบ	ch @@ p^
ชะตา	ch a t aa
ชัท	ch a t^
ชัฟเฟิล	ch a f i n^
ชั่ว	ch uua
ชั่วโมง	ch uua m oo ng^
ชั้น	ch a n^
ชาบู	ch aa b uu
ชาร์จ	ch aa t^
ชีวิต	ch ii w i t^
ชื่อ	ch vv
ชูกา	ch uu k aa
ช่วง	ch uua ng^
ช่วย	ch uua j^
ช้า	ch aa
ซอบิงโก	s @@ p^ i ng^ k oo
ซอลบิง	s @@ n^ b qq ng^
ซัก	s a k^
ซาวด์แทรก	s aa w^ s xx k^
ซีท	s ii t^
ซีรีย์	s ii r ii
ซีอิ๊ว	s ii z i o w^
ซื้อ	s vv
ซุเปอร์มาร์เก็ต	s u p qq m aa k @@ t
ซูเปอ	s uu p qq
ซ้ำ	s a m^
ญี่ปุ่น	j ii p u n^
ดนตรี	d o n^ tr ii
ดรีม	d r ii m^
ดัง	d a ng^
ดังๆ	d a ng^ ng^
ดับ	d a p^
ดาว	d aa w^
ดิน	d i n^
ดี	d ii
ดีแทค	d ii th e k^
ดึก	d v k^
ดื่ม	d vv m^
ดู	d uu
ด้วย	d uua j^
ตรง	tr o ng^
ตรา	tr aa
ตลาด	t a l aa t^
ตอน	t @@ n^
ตอนนี้	t @@ n^ n ii
ตอนเที่ยง	t @@ n^ th iia ng^
ตอบ	t @@ p^
ตัด	t a t^
ตั้ง	t a ng^
ตั้งแต่	t a ng^ t xx
ตั๋ว	t a uua
ตาม	t aa m^
ตาราง	t aa r aa ng^
ตำ	t a m^
ติด	t i t^
ติดต่อ	t i t^ t @@
ตี	t ii
ตีห้า	t ii h aa
ตึก	t v k^
ตื่น	t vv n^
ต่อ	t @@
ต่อไป	t @@ p a j^
ต่ำ	t a m^
ต้น	t o n^
ต้ม	t o m^
ต้อง	t @ ng^
ถอย	th @ j^
ถัด	th a t^
ถาม	th aa m^
ถึง	th v ng^
ถูก	th uu k^
ถ่ายรูป	th aa j^ r uu p^
ถ้า	th aa
ทน	th o n^
ทรี	s ii
ทอง	th @@ ng^
ทองดี	th @@ ng^ d ii
ทอด	th @@ t^
ทั้ง	th a ng^
ทั้งวัน	th a ng^ w a n^
ทั้งหมด	th a ng^ m o t^
ทาง	th aa ng^
ทำ	th a m^
ทำงาน	th a m^ ng aa n^
ที	th ii
ทีม	th ii m^
ที่	th ii
ที่นั่ง	th ii n a ng^
ที่นี่	th ii n ii
ที่พัก	th ii ph a k^
ที่แล้ว	th ii l xx w^
ทุก	th u k^
ทุกวัน	th u k^ w a n^
ทุ่ง	th u ng^
ทุ่ม	th u m^
ทูฟาสต์	th uu f aa t^
ทูสลีบ	th uu s a l ii p^
ทูเดย์	th uu d
ธนาคาร	th a n aa kh aa n^
ธุระ	th u r a
นอก	n @@ k^
นอน	n @@ n^
นอนได้	n @@ n^ d aa j^
นะ	n a
นักร้อง	n a k^ r @@ ng^
นักเรียน	n a k^ r iia n^
นัด	n a t^
นับ	n a p^
นั่ง	n a ng^
นั้น	n a n^
นาที	n aa th ii
นาน	n aa n^
นำ	n a m^
นิติ	n i t i
นี่	n ii
นี้	n ii
